Mã lỗi,Name,Message (Vietnamese),Message (English),Loại lỗi,Transaction Status,Lưu ý,Unnamed: 7,Loại lỗi.1,HXL
-10000,CALL_UM_EXCEPTION,Lỗi xảy ra khi gọi UM,,System,Fail,,, System: chủ yếu các lỗi liên quan về hệ thống.,HXL cụ thể tại mã lỗi. Thông thường hướng dẫn KH thử thực hiện lại GD.
-9999,TRANS_FAILED,Giao dịch không thành công. Vui lòng thử lại.,"Transaction failed.
 Please try again",Other,Fail,,,Bank: chủ yếu nguyên nhân từ hệ thống Ngân Hàng. ,- CS sẽ hướng dẫn KH liên hệ ngân hàng để kiểm tra thêm.
-9991,OTP_HAS_BEEN_EXPIRED,Hệ thống có lỗi khi xử lý yêu cầu. Vui lòng thử lại.,,System,Fail,,,"User: chủ yếu nguyên nhân từ thao tác, thông tin, tài khoản của User",HXL cụ thể tại mã lỗi.
-9204,CALL_TPE_EXCEPTION,Hệ thống có lỗi khi xử lý yêu cầu. Vui lòng thử lại.,"System failed to process request. 
 Please try again.",System,Fail,Hệ thống Ngân hàng không ổn định => Nhờ KH thử lại,,"- Các trường hợp sau, CS có thể ghi nhận chuyển SL kiểm tra thêm:
+ Mã lỗi nội dung chung chung, chưa có hướng xử lý cụ thể.
+ KH đã liên hệ Ngân Hàng xử lý nhưng thử lại vẫn tiếp tục bị lỗi.
+ KH thực hiện bị lỗi lập lại nhiều lần.
+ Khi kiểm tra lỗi liên quan đến hệ thống ( hệ thống lỗi thử lại sau), KH đã thực hiện liên tục nhiều ngày không được.

-> Các thông tin thường sử dụng để ghi nhận các case liên quan đến lỗi thẻ/TK ngân hàng:
- UserID: 
- TransID: 
- 6 đầu - 4 cuối số thẻ & tên NH: 
- Số tài khoản/Số thẻ NH:
- Tên chủ thẻ: 
- SĐT đăng ký NH: 
- Số CMND: 
- Vấn đề lỗi : (mã lỗi, tần suất/thời gian bị lỗi)
- Đối với lỗi phát sinh từ ngân hàng: hỏi thăm KH đã liên hệ NH chưa, NH đã tư vấn gì:",
-9203,CALL_UM_EXCEPTION,Hệ thống có lỗi khi xử lý yêu cầu. Vui lòng thử lại.,"System failed to process request. 
 Please try again.",System,Fail,Hệ thống Ngân hàng không ổn định => Nhờ KH thử lại,,,
-9202,CALL_BANK_TIME_OUT,Quá thời gian xử lí khi gọi qua ngân hàng.,Time out while calling bank.,Bank,Pending,Giao dịch bị quá thời gian xử lý từ phía Ngân hàng => Nhờ KH thử lại,,,
-9205,ALL_BANK_CONN_OTP_EXCEPTION,Hệ thống có lỗi khi xử lý yêu cầu. Vui lòng thử lại,Time out while calling bank.,Bank,Pending,Giao dịch bị quá thời gian xử lý từ phía Ngân hàng => Nhờ KH thử lại,,,
-3156,CALL_BANK_EXCEPTION,Hệ thống có lỗi khi gửi yêu cầu qua ngân hàng. Vui lòng thử lai.,"System failed when sending request
 to bank. Please try again.",Bank,Pending,Hdan kh thực hiện lại sau,,,
-9106,DATABASE_QUERY_FAILED,Hệ thống có lỗi khi xử lý yêu cầu. Vui lòng thử lại.,"System failed to process request. 
 Please try again.",System,Pending,,,,
-9105,CACHE_EXCEPTION,Hệ thống có lỗi khi xử lý yêu cầu. Vui lòng thử lại.,"System failed to process request. 
 Please try again.",System,Pending,"""Đầy bộ nhớ đệm  => Nhờ KH xóa bộ nhớ đệm (cache) và thực hiện lại
""",,,
-9104,CACHE_TRYLOCK_FAILED,Hệ thống có lỗi khi xử lý yêu cầu. Vui lòng thử lại.,"System failed to process request. 
 Please try again.",System,Pending,,,,
-9103,ENQUEUE_EXCEPTION,Hệ thống có lỗi khi xử lý yêu cầu. Vui lòng thử lại.,"System failed to process request. 
 Please try again.",System,Pending,"Hệ thống Ngân hàng không ổn định => Nhờ KH thử lại
",,,
-9102,DATABASE_UPDATE_FAILED,Hệ thống có lỗi khi xử lý yêu cầu. Vui lòng thử lại.,"System failed to process request. 
 Please try again.",System,Pending,"Hệ thống Ngân hàng không ổn định => Nhờ KH thử lại
",,,
-9101,DATABASE_EXCEPTION,Hệ thống có lỗi khi xử lý yêu cầu. Vui lòng thử lại.,"System failed to process request. 
 Please try again.",System,Pending,"Hệ thống Ngân hàng không ổn định => Nhờ KH thử lại
",,,
-9100,DATABASE_INSERT_FAILED,Hệ thống có lỗi khi xử lý yêu cầu. Vui lòng thử lại.,"System failed to process request. 
 Please try again.",System,Pending,,,,
-9003,BANK_DATA_CONVERTION_EXCEPTION,Hệ thống có lỗi khi xử lý yêu cầu. Vui lòng thử lại.,"System failed to process request. 
 Please try again.",System,Pending,"Hệ thống Ngân hàng không ổn định => Nhờ KH thử lại
",,,
-9002,GENERATE_TRAN_ID_FAILED,Hệ thống có lỗi khi xử lý yêu cầu. Vui lòng thử lại.,"System failed to process request. 
 Please try again.",System,Pending,"Hệ thống Ngân hàng không ổn định => Nhờ KH thử lại
",,,
-9001,DATA_CONVERTION_EXCEPTION,Hệ thống có lỗi khi xử lý yêu cầu. Vui lòng thử lại.,"System failed to process request. 
 Please try again.",System,Pending,,,,
-9000,SYSTEM_ERROR,Hệ thống có lỗi khi xử lý yêu cầu. Vui lòng thử lại.,"System failed to process request. 
 Please try again.",System,Pending,"Hệ thống Ngân hàng không ổn định => Nhờ KH thử lại
",,,
-7001,BANK_CARD_TYPE_NOT_SUPPORT_ONLINE_PAYMENT,Loại thẻ không hỗ trợ thanh toán trực tuyến.,"Card type are not supported with online
 payment.",User,Fail,,,,
-7000,BANK_CARD_OR_ACCOUNT_NOT_REGISTERED_ONLINE_PAYMENT,Thẻ hoặc tài khoản chưa đăng ký dịch vụ thanh toán trực tuyến. Vui lòng liên hệ với ngân hàng phát hành.,"Card or account has not been registered
 for online payment service. Please contact
 with issuing bank.",User,Fail,"Hệ thống Ngân hàng không ổn định => Nhờ KH thử lại
",,,
-6056,BANK_FRAUD_DETECTION_DEVICE_EXCEEDED_AMT_PER_INTERVAL,Vượt hạn mức giao dịch trong ngày. Vui lòng chọn nguồn tiền khác để thực hiện giao dịch. Liên hệ hotline 1900545436 để biết thêm chi tiết.,Exceeded the daily trading limit. Please select another funding source to make the transaction. Contact the hotline 1900545436 for more details.,User,Fail,,,,
-6055,BANK_FRAUD_DETECTION_USER_EXCEEDED_AMT_PER_INTERVAL,Vượt hạn mức giao dịch trong ngày. Vui lòng chọn nguồn tiền khác để thực hiện giao dịch. Liên hệ hotline 1900545436 để biết thêm chi tiết.,Exceeded the daily trading limit. Please select another funding source to make the transaction. Contact the hotline 1900545436 for more details.,User,Fail,,,,
-6054,BANK_FRAUD_DETECTION_CARD_EXCEEDED_AMT_PER_INTERVAL,Thẻ vượt hạn mức giao dịch trong ngày. Vui lòng chọn nguồn tiền khác để thực hiện giao dịch. Liên hệ hotline 1900545436 để biết thêm chi tiết.,Card exceeded the daily trading limit. Please select another funding source to make the transaction. Contact the hotline 1900545436 for more details.,User,Fail,,,,
