"BẢNG TƯ VẤN HẠN MỨC GIAO DỊCH TỐI ĐA DÀNH CHO MỘT SỐ APPID KHI THANH TOÁN BẰNG NGUỒN TIỀN TÀI KHOẢN TRẢ SAU
 (Dành cho các trường hợp KH thanh toán nhưng không lên giao dịch trên TPE hoặc giao dịch bị chặn từ màn hình Cashier)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
"Tình huống:
- Giao dịch bằng TKTS có ghi nhận giao dịch thất bại lỗi -358 trên TPE
- Giao dịch bằng TKTS không ghi nhận trên TPE
- Giao dịch bằng TKTS vượt hạn mức quản lý rủi ro của nguồn tiền
Nguyên nhân: Do risk chặn hạn mức giao dịch bằng TKTS.

HXL: CS kiểm tra thêm thông tin trên tool TPE thông tin giao dịch (nếu không có GD xin dịch vụ đang thanh toán và số tiền) để đối chiếu HXL trên bảng mã lỗi TPE -358/ ErrorCode

1. Giao dịch bằng TKTS có ghi nhận giao dịch thất bại lỗi -358 trên TPE
Ví dụ: ""Giao dịch của bạn vượt quá hạn mức mua thẻ cào 150.000đ trong 30 ngày bằng TK trả sau. Bạn vui lòng thử lại bằng nguồn tiền khác""
=> Trước tiên, CS cần kiểm tra lại thông tin giao dịch trên tool xem KH có thật sự vượt quá hạn mức 150.000đ không?
   > Nếu có: CS tư vấn theo message lỗi, hướng dẫn KH thực hiện lại bằng nguồn tiền khác hoặc thử lại sau 30 ngày.
   > Nếu không: CS ghi nhận chuyển SL/note file risk kiểm tra

2. Số tiền cần thanh toán (Số tiền trước giảm giá)+ hạn mức đã sử dụng LỚN HƠN hạn mức được cấp 
=> CS hướng dẫn KH sử dụng nguồn tiền khác và thử lại giao dịch sau 30 ngày.

3. Số tiền cần thanh toán (Số tiền trước giảm giá)+ hạn mức đã sử dụng NHỎ HƠN hạn mức được cấp 
4. Hạn mức đã sử dụng LỚN HƠN hạn mức được cấp 
=> CS chuyển SL/note file risk. SLA 3-5 ngày làm việc.

5. Giao dịch bằng TKTS vượt hạn mức quản lý rủi ro của nguồn tiền (mã lỗi hạn mức không rõ ràng)
=> CS hướng dẫn KH sử dụng nguồn tiền khác. Nếu KH gay gắt muốn biết chính xác hạn mức là bao nhiêu. CS chuyển SL/note file risk. SLA 3-5 ngày làm việc.

",,,"Một số tình huống khác mà CS thường gặp:
 1. Khi KH thắc mắc hạn mức được đánh giá như thế nào:
 Hệ thống máy tính sẽ định kỳ tự động đánh giá lịch sử GD của KH khi sử dụng TKTS từ đó đưa ra quyết định hạn mức thanh toán bằng TKTS của KH đối với 1 số sản phẩm/dịch vụ.
 
 2. Làm sao để có thể thanh toán giá trị nhiều hơn bằng TKTS đối với một số sản phẩm/dịch vụ có giới hạn hạn mức theo hạn mức Group 2 và 3:
 Một số gợi ý để KH có thể thanh toán với hạn mức cao hơn trong tương lai:
 + Sử dụng thường xuyên, đều đặn TKTS ít nhất từ 1-3 tháng trở lên
 + Thanh toán dư nợ TKTS đầy đủ và đúng hạn
 
 3. KH thắc mắc thanh toán chưa đủ hạn mức sao đã bị chặn:
 CS tính tổng tiền KH đã chi tiêu cho cả 02 AppID bằng cách:
 . Vào tool TPE >> CS lọc Nguồn tiền bằng TKTS; thời gian trong vòng 30 ngày từ GD bị lỗi: CS tính tổng GD Lazada + Tiktokshop + GD TiktokShop/Lazada hiện tại mà đang bị lỗi, bị từ chối.
 . CS đối chiếu KH đang bị phạm theo hạn mức nào
 >> CS tư vấn hướng xử lý cho KH theo hạn mức tương ứng.",,
,,,,,
Loại dịch vụ,AppID (Tính tổng các AppID cùng 1 loại dịch vụ),Hạn mức,Message on Cashier,TPE Message,Note
Group of merchant,AppID bất kỳ,"Group 1: 4M/ 1 day
Group 2: 3M/ 1 day",Vượt quá hạn mức giao dịch đối với dịch vụ này trong <hours>. ,Đã vượt quá hạn mức giao dịch đối với dịch vụ này trong <hours>. Bạn thử lại bằng nguồn tiền khác nhé.,
Telco,12 - Thẻ điện thoại,All users: 150k/ 30 days,Vượt mức thẻ cào <amount>/30 ngày,Vượt hạn mức mua thẻ cào <amount> trong 30 ngày bằng TK trả sau. Bạn thử lại bằng nguồn tiền khác nhé.,
,61 - Nạp điện thoại,"Group 1: 1M/ 30 days
Group 2: 150k, 250k, 350k/ 30 days
Group 3: 150k/ 30 days",Vượt mức nạp điện thoại <amount>/30 ngày,Vượt hạn mức nạp tiền ĐT <amount> trong 30 ngày bằng TK trả sau. Bạn thử lại bằng nguồn tiền khác nhé.,
,"12 - Thẻ điện thoại
61 - Nạp điện thoại","Group 2, 3: 200k/ 30 days","Vượt mức thẻ cào, nạp ĐT <amount>/30 ngày",Vượt tổng hạn mức thẻ cào và nạp ĐT <amount> trong 30 ngày bằng TK trả sau. Bạn thử nguồn tiền khác nhé.,
,"441 - Nạp data 3G/4G
455 - Combo điện thoại","Group 2: 
 - Cùng SĐT: 250k/30 days
 - Khác SĐT: 100k/30 days
 Group 3:
 - Cùng SĐT: 100k/30 days
 - Khác SĐT: Không cho phép
","Vượt mức nạp data/combo x/30 ngày
Vượt mức nạp data/combo khác SĐT x/30 ngày
Chưa hỗ trợ nạp data/combo khác SĐT","Vượt hạn mức nạp data/combo <amount> trong 30 ngày bằng TK trả sau. Bạn thử lại bằng nguồn tiền khác nhé.
 Vượt hạn mức nạp data/combo cho SĐT khác <amount> trong 30 ngày bằng TK trả sau. Bạn sử dụng nguồn tiền khác nhé.",
,2172 - Thẻ data,"Group 1 & 2: 100k/ 30 days
Group 3: Không cho phép","Vượt mức mua thẻ data x/30 ngày
Dịch vụ chưa hỗ trợ",Vượt hạn mức mua thẻ data <amount> trong 30 ngày bằng TK trả sau. Bạn thử lại bằng nguồn tiền khác nhé.,
,"441 - Nạp data 3G/4G
455 - Combo điện thoại
2172 - Thẻ data","Group 1: 500k/30 days
Group 2: 300k/30 days",Vượt mức dịch vụ data x/30 ngày,Vượt hạn mức dịch vụ data <amount> trong 30 ngày bằng TK trả sau. Bạn thử lại bằng nguồn tiền khác nhé.,
