Canned Response ID,Title,Content,Folder Name,Visibility
PROC_IBFT_001,Chuyển tiền IBFT - Định nghĩa và thông tin cơ bản,"Chuyển tiền IBFT (AppID 241) cho phép chuyển tiền từ tài khoản ZaloPay đến số Thẻ/TKNH người nhận. Nguồn tiền: số dư ZaloPay, thẻ/TKNH liên kết. Sub Trans Type: DOMESTIC_TRANSFER_FUND. Thời gian xử lý: 1-3 ngày làm việc. ZaloPay hỗ trợ thẻ NH 16 và 19 số. Chưa hỗ trợ thẻ Visa. Với VCB từ 1/3/2023: Bank Code ZPVCB - Bank Connector Code ZPVCBFT, chuyển trực tiếp qua VCB.",Quy trình CS,Available to all
PROC_IBFT_002,Rút tiền ZaloPay về thẻ/TKNH liên kết - Định nghĩa,"Rút tiền (AppID 452): KH rút tiền từ số dư ví ZaloPay sang Thẻ/TKNH đã liên kết. Sub Trans Type: DOMESTIC_TRANSFER_FUND (Bankcode ZPMB, ZPEIB) hoặc WITHDRAW_BY_TOKEN (các bank còn lại). Hệ thống dùng flow IBFT, qua ngân hàng trung gian STB, VCCB, BIDV. Nếu rút về VCB-Card: SMS có chữ 'Refund', kiểm tra theo Authorization code 6 số trên SMS.",Quy trình CS,Available to all
PROC_IBFT_003,Trả nợ thẻ tín dụng qua ZaloPay - Định nghĩa và lưu ý,"Trả nợ thẻ tín dụng (AppID 45): Thanh toán nợ sao kê từ số dư ZaloPay. Sub Trans Type: TRANSFER_FUND. Yêu cầu tài khoản K3 (eKYC + mapbank). Phí: 5.000đ + 0.3% giá trị GD. Một số NH có phí trung gian bổ sung (VD: VIB qua MoneySend 50.000đ/GD). Nếu NH chưa gạch nợ: hẹn KH 3 ngày LV, nếu vẫn chưa xử lý chuyển CS2. KH cần liên hệ NH để biết biểu phí chi tiết.",Quy trình CS,Available to all
PROC_IBFT_004,Giao dịch IBFT/Rút tiền BC PENDING - Hướng xử lý,"BC PENDING: Nếu khiếu nại < T+3: Báo KH chờ 3 ngày LV, đóng case CS1. Nếu > T+3: Xin sao kê trừ tiền, chuyển CS2. SLA: 3-5 ngày LV. Với Bank Connector VCB (trừ ZPVCBC), MSB (ZPMSB2): OP có thể addhost T+1. Với Bank Connector AGRIBANK (ZPAGB/AZPAGB2): cần xin thêm số TK người nhận và họ tên. CS2 mail OP kiểm tra, sau đó phản hồi KH. Giao dịch Trả nợ thẻ tín dụng không cần xin sao kê.",Quy trình CS,Available to all
PROC_IBFT_005,Giao dịch IBFT/Rút tiền BC FAIL/REVERSED - Hướng xử lý,"BC FAIL hoặc REVERSED: Kiểm tra sao kê ZaloPay đã được hoàn tiền chưa? Nếu đã hoàn: Tư vấn KH kiểm tra lại số dư. Nếu chưa hoàn: Hướng dẫn KH chờ hoàn tiền trong T+3 ngày LV. Nếu quá 3 ngày LV chưa hoàn hoặc KH gay gắt: chuyển CS2. CS2 mail FA xử lý hoàn tiền sớm. SLA: 3-5 ngày LV. Mã lỗi cần đợi T+3: -1015, -3034, -5000, -5009, -5011, -5025, -5031, -5032, -5038, -5039, -5041, -5047, -5048, -5051, -5054, -5071, -5074, -5077, -5203, -5214, -5405, -5501.",Quy trình CS,Available to all
PROC_IBFT_006,Giao dịch BC thành công nhưng người nhận chưa nhận được tiền IBFT/Rút tiền,"BC thành công IBFT/Rút tiền: Thông báo GD thành công, nhờ người nhận chờ 24h. Nếu quá 24h vẫn chưa nhận: CS kiểm tra mã Bank, xin sao kê người nhận chưa có GD cộng tiền trước khi chuyển CS2. Nếu GD chuyển đến bank: xin sao kê. Nếu GD chuyển đến ví điện tử: yêu cầu hình ảnh LSGD mục Nhận tiền. Lưu ý với Agribank: KH kiểm tra ở LSGD không thấy là bình thường, tiền vẫn được cộng vào TK.",Quy trình CS,Available to all
PROC_IBFT_007,Giao dịch BC Thành công - Trả nợ thẻ tín dụng nhưng NH chưa gạch nợ,"BC thành công Trả nợ thẻ: Thông báo GD thành công, hẹn NH gạch nợ trong 3 ngày LV. Nếu quá 3 ngày NH vẫn chưa nhận: CS kiểm tra mã Bank + xin sao kê chưa nhận tiền, chuyển CS2. CS2 mail OP kiểm tra GD với NH, sau đó phản hồi KH.",Quy trình CS,Available to all
PROC_IBFT_008,Giao dịch không có trên BC - Hướng xử lý,"BC không ghi nhận GD: Ghi nhận thông tin chuyển CS2/LV2 kiểm tra. SLA: 3-5 ngày LV. CS2 kiểm tra tool BC đảm bảo không có GD, tạo Jira_Dev kiểm tra. Nếu cần hoàn tiền: Dev tag FA xử lý. LV2 phản hồi kết quả cho KH.",Quy trình CS,Available to all
PROC_VIETQR_001,VietQR - Tổng quan tính năng và flow thanh toán,"VietQR tích hợp ZaloPay cho phép: (1) Quét mã VietQR qua ZaloPay để chuyển tiền; (2) Thanh toán dịch vụ ZaloPay qua app ngân hàng/ví điện tử khác (Momo, Viettel Money, VNPT Pay, SmartPay). Flow IBFT VietQR: AppID 241, Embed data origin=vietqr, Product code TF024. Flow thanh toán QR ZaloPay qua app NH: AppID theo dịch vụ, Kênh 46-Quét bằng app bên thứ 3, không có UserID.",Quy trình CS,Available to all
PROC_VIETQR_002,"Nhận biết mã VA số tài khoản VietQR - Bản Việt, MSB, VPBank","4 định dạng mã VA: (1) Bản Việt 14 số: bắt đầu 999001... VD: 99900121113717; (2) Bản Việt 18 số: bắt đầu 99ZP..., ký tự M=QR tĩnh, O=QR động. VD: 99ZP24086M00311063; (3) MSB 19 số: bắt đầu Z6868..., số 0=QR tĩnh, 1=QR động. VD: Z686824086100004181; (4) VPBank 17 số: bắt đầu ZLP..., 0=QR tĩnh, 1=QR động. VD: ZLP2418310001019. Lưu ý VPBank: tra cứu theo STK gửi thay vì STK nhận.",Quy trình CS,Available to all
PROC_VIETQR_003,Phân biệt QR tĩnh và QR động ZaloPay,"QR Tĩnh: Thời hạn không giới hạn, dùng nhiều lần, có thể điều chỉnh số tiền, mã VA có ký tự M hoặc số 0. QR Động: Thời hạn 15 phút, chỉ dùng 1 lần, số tiền cố định, mã VA có ký tự O hoặc số 1. Lưu ý nạp SDSL qua VietQR: mỗi QR có hiệu lực 15 phút, chỉ quét 1 lần, số tiền cố định - nếu KH thay đổi số tiền GD sẽ tự thất bại.",Quy trình CS,Available to all
