Flow lỗi -361/-356/ -363,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
1. Nội dung câu báo lỗi: ,,,,,
ZaloPay ngăn chặn giao dịch bất thường trên thiết bị lạ để bảo vệ tài khoản của bạn,,,,,
Giao dịch có dấu hiệu bất thường. Vui lòng xác thực khuôn mặt để tiếp tục giao dịch.,,,,,
,,,,,
2. Nguyên nhân:,,,,,
". KH đã KYCed, thực hiện GD có Áp dụng khuyến mãi / thanh toán bằng Nguồn TKTS / thanh toán trên Thiết bị khác => KH gặp mã lỗi -356, -363 > KH cần thực hiện Face Authen",,,,,
". Lưu ý đối với GD có áp dụng KM mà KH chưa KYCed, thực hiện giao dịch sẽ gặp mã lỗi -361 > Thực hiện Captcha",,,,,
,,,,,
,,,,,
Màn hình Cashier,,Đã KYC,,,Chưa KYC
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
3.KH được yêu cầu Face Authen (xác thực khuôn mặt tại màn hình kết quả giao dịch/ màn hình cashier) hoặc thực hiện Captcha tại màn hình kết quả GD (chỉ có thể Authen tại bước này). Trong trường hợp KH nhấn đóng thì KH cần thực hiện lại giao dịch để vào bước Authen/Captcha.,,,,,
"4.Nếu Authen/Captcha thành công, KH thực hiện lại GD để hưởng KM hoặc bằng nguồn TKTS bình thường.",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
