"Autorep sẽ hướng dẫn KH thực hiện lại sau 24h trước, nếu KH phản hồi cho Cs hoặc người tiếp nhận đầu tiên là CS thì khai thác những thông tin theo qui trình dưới",Unnamed: 1,Unnamed: 2,Unnamed: 3,"Do tình hình fraud report từ KH tăng cao tại Sendo trong 2 ngày 10-11/10, Risk đã thực hiện các rule giới hạn tại appID Sendo như sau:",Unnamed: 5,Unnamed: 6,Unnamed: 7
A. Đối tượng liên hệ :,,,,A'. Đối tượng liên hệ :,,,
,Đối tượng KH,ZMS/SMS  KH nhận được,,,Đối tượng KH,ZMS/SMS  KH nhận được,Hướng xử lý cho CS
,"User nhận được ZMS với nội dung : … 
 ( phase 1, từ ngày 28/10/2021)","""ZaloPay phát hiện có dấu hiệu bất thường trong giao dịch của bạn trên thiết bị lạ. Nếu bạn không thực hiện giao dịch đó, hãy nhanh chóng thay đổi mật khẩu thanh toán tại ZaloPay để tránh thất thoát tiền trong tài khoản bạn nhé!""",,,"User nhận được ZNS/ZMS với nội dung:
(từ ngày 11/10/2021)

Do đây là các giao dịch auto debit, và KH sẽ không nhìn thấy được rule đang vi phạm khi giao dịch tại SENDO và có thể không aware nếu có phát sinh giao dịch thất bại, Risk đang update để gửi thông báo đến Khách hàng thông qua ZNS/ ZMS khi vướng các rule trên, nội dung message cụ thể như sau:","“ZaloPay phát hiện tài khoản của bạn <User ID> có giao dịch bất thường thanh toán SENDO. Nếu đó không phải là bạn, hãy GỠ LIÊN KẾT với SENDO ngay lập tức để bảo vệ tài khoản!”","Hướng dẫn KH gỡ liên kết với Sendo và thay đổi thông tin MKTT ZP; Mật khẩu Zalo, MKật khẩu TKNH"
,User nhận được sms với nội dung,"""ZaloPay phat hien tai khoan cua ban co giao dich bat thuong tren thiet bi la. Hay DOI MAT KHAU ZaloPay ngay neu giao dich khong phai do ban thuc hien!""
",,,,,
,"User thực hiện các giao dịch có rủi ro cao (IBFT, P2P, Telco, … ) bị nghi ngờ sẽ bị từ chối GD
 (phase 2, từ ngày 5/11/2021)",,,"Vượt hạn mức thanh toán. Bạn hãy thử lại sau 24 giờ nhé.

Nguyên nhân: do Risk đánh giá tài khoản có dấu hiệu không an toàn.
HXL: HD KH thực hiện lại sau 24h ; hoặc xác minh, chứng từ như lỗi -348 khác.

CS tư vấn: Do hệ thống đánh giá tài khoản có dấu hiệu không an toàn. Vì vậy, nhằm đảm bảo cho chủ TKZP,  em xin phép được xác minh....""",,,
,"User CHƯA ĐỊNH DANH 
Trong vòng 24h đầu kể từ khi thay đổi thiết bị để thanh toán.
Hạn mức: 5 triệu (không tính giao dịch nạp tiền, rút tiền, nạp tiền vào tài khoản tích lũy) 

(Từ 14h 12/10/2022)","""Vượt hạn mức giao dịch trong 24h đầu trên thiết bị lạ, bạn hãy định danh để tiếp tục.""",,,,,
,,"Vượt hạn mức thanh toán. Bạn hãy thử lại sau 24 giờ nhé.

Nguyên nhân: do Risk đánh giá tài khoản có dấu hiệu không an toàn.
HXL: HD KH thực hiện lại sau 24h ; hoặc xác minh, chứng từ như lỗi -348 khác.

CS tư vấn: Do hệ thống đánh giá tài khoản có dấu hiệu không an toàn. Vì vậy, nhằm đảm bảo cho chủ TKZP,  em xin phép được xác minh...>> xử lý tiếp theo mục B bên dưới.",,,,,
,,,,,,,
,,,,,,,
B. Các bước hỗ trợ (Qua Call/Mail/Inapp),,,,,,,
