BẢNG MÃ LỖI SỬ DỤNG KHI CHECK CÁC VẤN ĐỀ LIÊN QUAN ĐẾN CÁC GIAO DỊCH CÓ QUA LUỒNG CẦN THỰC HIỆN NFC,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Error code,Step Result,User message (Thông báo đến User),Description nội bộ,HXL,
-365,,"Giao dịch không thành công do lỗi xác thực (NFC, Faceauthen...)",,"CS kiểm tra KH đã thực hiện NFC thành công hay chưa? 
- Nếu chưa NFC  thì hướng dẫn KH cập  nhật định danh và thực lại NFC, sau khi NFC thành công thì hãy thực hiện lại GD. Nếu NFC thất bại hoặc ko NFC thì xử lý theo quy trình cập nhật NFC
- Nếu đã NFC thì Chuyển case SL tạo Jira cho dev UM kiểm tra nguyên nhân",
-365,-1000,Thông tin xác thực không đúng,Thông tin auth_type không đúng,Lỗi hệ thống - chuyển SL tạo jira cho UM,
-365,-1001,Thông tin xác thực không hỗ trợ,Thông tin auth_type không hỗ trợ,Lỗi hệ thống - chuyển SL tạo jira cho UM,
-365,-1002,{},Thông tin không hợp lệ,"CS kiểm tra KH đã thực hiện NFC thành công hay chưa? 
 1. Nếu chưa NFC thì hướng dẫn KH cập nhật định danh và thực lại NFC, sau khi NFC thành công thì hãy thực hiện lại GD. Nếu NFC thất bại hoặc ko NFC thì xử lý theo quy trình cập nhật NFC 
 2. Nếu đã NFC thì hướng dẫn KH thử lại và chụp màn hình báo lỗi nếu vẫn thất bại. 
(Tùy nội dung lỗi mà CS hướng dẫn khách hàng xử lý theo message tương ứng)",x
-365,-1003,Đã xảy ra lỗi trong quá trình xác thực. Vui lòng thử lại hoặc liên hệ bộ phận CSKH 1900 545436 để được hỗ trợ.,unexpected error,Lỗi hệ thống - chuyển SL tạo jira cho UM,
-365,-1004,Mã xác thực OTP không đúng. Vui lòng thực hiện lại.,Mã xác thực OTP không đúng. Vui lòng thực hiện lại.,"Hướng dẫn KH thực hiện lại giao dịch khác và nhập OTP để hoàn tất giao dịch, TH khách hàng nói ko thấy màn hình nhập OTP/ko nhận được OTP thì chuyển SL kiểm tra với dev cashier",
-365,-1005,Thông tin xác thực không chính xác. Vui lòng kiểm tra thông tin và quét lại CCCD.,NFC fail,"Nguyên nhân: do KH thực hiện NFC thất bại
 - Nếu có tool check, CS check nguyên nhân thất bại rồi phản hồi
 - Nếu chưa có tool check, CS xin hình ảnh lỗi rồi xử lý tương tự như quy trình cập nhật NFC",x
-365,-1006,Giao dịch chưa được xác thực. Vui lòng quét CCCD để xác thực.,NFC cancel,"Nguyên nhân: do KH không quét được NFC, lỗi phát sinh khi KH đang NFC
CS xin hình ảnh lỗi rồi xử lý tương tự như quy trình cập nhật NFC",x
